"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count
6602,Paris,paris-travaux-generaux-et-renovation-de-maisons,,2559,"Travaux généraux et rénovation de maisons",travaux-generaux-et-renovation-de-maisons,
6603,"Travaux généraux et rénovation sur mesure",travaux-generaux-et-renovation-sur-mesure,,,,,
6604,Paris,paris-travaux-generaux-et-renovation-sur-mesure,,6603,"Travaux généraux et rénovation sur mesure",travaux-generaux-et-renovation-sur-mesure,
6605,"Décoration artisanale marocaine et mobilier",decoration-artisanale-marocaine-et-mobilier,,,,,
6606,"rénovation et gestion immobilière",renovation-et-gestion-immobiliere,,,,,
6607,Paris,paris-renovation-et-gestion-immobiliere,,6606,"rénovation et gestion immobilière",renovation-et-gestion-immobiliere,
6608,Paris,paris-travaux-generaux-et-construction,,2570,"Travaux généraux et construction",travaux-generaux-et-construction,
6609,"Travaux généraux et gestion de chantiers collaboratifs",travaux-generaux-et-gestion-de-chantiers-collaboratifs,,,,,
6610,Paris,paris-travaux-generaux-et-gestion-de-chantiers-collaboratifs,,6609,"Travaux généraux et gestion de chantiers collaboratifs",travaux-generaux-et-gestion-de-chantiers-collaboratifs,
6611,https://annuaire-france.avis-pros.com/societe/paris-girobat-travaux-generaux-et-construction/,https-annuaire-france-avis-pros-com-societe-paris-girobat-travaux-generaux-et-construction,,,,,
6612,"revêtements de sols et rénovation technique",revetements-de-sols-et-renovation-technique,,,,,
6613,Paris,paris-revetements-de-sols-et-renovation-technique,,6612,"revêtements de sols et rénovation technique",revetements-de-sols-et-renovation-technique,
